,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
136,13,1,1,1,1,6,3,188,139,12,5,221,140
137,13,1,1,1,1,4,10,189,140,2,3,222,141
138,13,0,2,0,3,11,11,189,142,7,8,222,144
139,13,2,1,3,0,7,5,191,143,11,5,225,144
140,13,1,2,0,3,4,7,192,145,6,13,225,147
141,13,0,1,0,3,5,7,192,146,8,8,225,150
142,13,1,0,3,0,12,8,193,146,10,9,228,150
143,14,0,0,1,1,6,8,193,146,11,8,229,151
144,14,0,2,0,3,10,10,193,148,11,14,229,154
145,14,2,3,0,3,15,6,195,151,16,12,229,157
146,14,2,1,3,0,12,10,197,152,10,4,232,157
147,14,2,1,3,0,10,7,199,153,9,4,235,157
148,14,2,0,3,0,19,10,201,153,17,8,238,157
149,14,2,0,3,0,11,6,203,153,15,13,241,157
150,14,2,2,1,1,12,8,205,155,13,7,242,158
151,14,3,0,3,0,15,5,208,155,18,14,245,158
152,14,1,0,3,0,5,4,209,155,12,5,248,158
153,14,2,1,3,0,12,6,211,156,19,5,251,158
154,15,0,0,1,1,8,9,211,156,10,9,252,159
155,15,1,1,1,1,13,9,212,157,11,4,253,160
156,15,2,0,3,0,8,3,214,157,15,5,256,160
157,15,1,3,0,3,8,9,215,160,12,12,256,163
158,15,2,3,0,3,6,13,217,163,2,9,256,166
159,15,3,2,3,0,13,9,220,165,13,8,259,166
160,15,0,0,1,1,11,11,220,165,8,11,260,167
161,15,2,2,1,1,9,7,222,167,12,2,261,168
162,15,0,0,1,1,5,7,222,167,9,2,262,169
163,15,1,2,0,3,11,5,223,169,13,11,262,172
164,15,0,1,0,3,4,8,223,170,6,8,262,175
165,16,2,2,1,1,17,7,225,172,19,9,263,176
166,16,4,2,3,0,16,12,229,174,13,12,266,176
167,16,2,1,3,0,13,6,231,175,16,4,269,176
